Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height
1,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NMN_0_0,1,,N/A,335.2 / 123.1,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,12.3,N/A,Valley,N/A,209312.5734,N/A,209312.5734,N/A,N/A,15607.67389,N/A,15607.67389,N/A,N/A,13.41087563,N/A,13.41087563,N/A,15373,N/A,1,N/A,12.36733486,N/A,12.15376667,N/A,13.06995,N/A,0.916183333,N/A,0.16444907,N/A,79.8580761,N/A,0.016834353,N/A,FALSE,N/A,TRUE,135.6367679,135.6367679,12.20732392,13.04868101,0.841357085,12.22020496,12.82468733,0.604482373,286.7822175,3.096045734,3.914688899,N/A,N/A,23,6
2,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NR_0_0,2,,N/A,255.0 / 123.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,2.5,N/A,Baseline,N/A,195935.487,N/A,195935.487,N/A,N/A,6360,N/A,6360,N/A,N/A,30.80746651,N/A,30.80746651,N/A,5888,N/A,1,N/A,2.735478518,N/A,2.1869,N/A,3.4047,N/A,1.2178,N/A,0.481967482,N/A,35.90494102,N/A,0,N/A,FALSE,N/A,TRUE,< 0,N/A,2.206713084,3.393122171,1.186409086,2.223988462,3.381544341,1.15755588,0,1.029922195,1.071892795,N/A,N/A,46,19
3,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,7.6,N/A,Baseline,N/A,545.224,N/A,545.224,N/A,N/A,99.99771102,N/A,99.99771102,N/A,N/A,5.452364804,N/A,5.452364804,N/A,80,N/A,0.401503436,N/A,7.606173748,N/A,7.543316667,N/A,7.718066667,N/A,0.17475,N/A,0.129313057,N/A,5.345308436,N/A,0.320007325,N/A,FALSE,N/A,TRUE,266.5589943,266.5589943,7.547494571,7.718066667,0.170572095,7.549101152,7.718066667,0.168965515,183.1187411,2.15793335,3.456368763,N/A,N/A,9,8
4,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NaMN_0_0,4,,N/A,336.1 / 123.8,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,12.3,N/A,Baseline,N/A,16772.644,N/A,16772.644,N/A,N/A,1222.785221,N/A,1222.785221,N/A,N/A,13.71675394,N/A,13.71675394,N/A,1195,N/A,1,N/A,12.36474909,N/A,12.00993333,N/A,12.8553,N/A,0.845366667,N/A,0.142791692,N/A,27.43576634,N/A,0.050703917,N/A,FALSE,N/A,TRUE,651.8698997,651.8698997,12.01857834,12.83982072,0.821242381,12.03442498,12.82989569,0.795470716,-73.34095659,1.109172479,1.244819962,N/A,N/A,20,5
5,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NR_B,5,,N/A,255.0 / 78.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,2.5,N/A,Baseline,N/A,29894.3365,N/A,29894.3365,N/A,N/A,1059.109079,N/A,1059.109079,N/A,N/A,28.22592791,N/A,28.22592791,N/A,992,N/A,1,N/A,2.701063624,N/A,2.1869,N/A,3.2638,N/A,1.0769,N/A,0.546628991,N/A,13.96999342,N/A,0.030214074,N/A,FALSE,N/A,TRUE,< 0,N/A,2.19668075,3.259341374,1.062660623,2.204667998,3.252153104,1.047485106,29.71492246,1.361038627,1.739248833,N/A,N/A,40,22
6,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NR_C,6,,N/A,255.0 / 238.2,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,2.5,N/A,Baseline,N/A,1949.893,N/A,1949.893,N/A,N/A,418.3777,N/A,418.3777,N/A,N/A,4.660604521,N/A,4.660604521,N/A,819,N/A,0.314895639,N/A,2.989301666,N/A,2.90925,N/A,3.075916667,N/A,0.166666667,N/A,0.143748477,N/A,3.490179206,N/A,0.112338683,N/A,FALSE,N/A,TRUE,< 0,N/A,2.90925,3.074394881,0.165144881,2.909345085,3.07323901,0.163893925,-282,3.354330694,5.683660392,N/A,N/A,8,8
7,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NaR_B,7,,N/A,256.0 / 238.2,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,7.6,N/A,Baseline,N/A,3303.728,N/A,3303.728,N/A,N/A,741.717524,N/A,741.717524,N/A,N/A,4.45415929,N/A,4.45415929,N/A,636,N/A,0.324797648,N/A,7.796157415,N/A,7.696233333,N/A,7.849166667,N/A,0.152933333,N/A,0.090282137,N/A,3.948672163,N/A,0.280430209,N/A,FALSE,N/A,TRUE,20151.5524,20151.5524,7.720619659,7.848940545,0.128320886,7.724671291,7.847802446,0.123131155,1360.069747,0.601333107,0.199578203,N/A,N/A,8,6
8,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NaAD_B,8,,N/A,665.0 / 136.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,100,N/A,N/A,10.92,N/A,Manual,N/A,108790.6792,N/A,108790.6792,N/A,N/A,4745.606695,N/A,4745.606695,N/A,N/A,22.92450391,N/A,22.92450391,N/A,4287,N/A,0.791767118,N/A,10.89351009,N/A,10.57534962,N/A,11.17996943,N/A,0.604619816,N/A,0.429876387,N/A,32.47656538,N/A,0.030903681,N/A,TRUE,N/A,TRUE,85.08574192,85.08574192,10.60782113,11.19623333,0.588412204,10.61987608,11.19623333,0.576357256,242.5602215,0.827982543,0.67900099,N/A,N/A,21,15
9,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NaAD_0_0,9,,N/A,665.0 / 428.1,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,11.3,N/A,Baseline,N/A,169587.802,N/A,169587.802,N/A,N/A,4659.208428,N/A,4659.208428,N/A,N/A,36.39841502,N/A,36.39841502,N/A,4166,N/A,1,N/A,10.88638641,N/A,10.59713333,N/A,12.00993333,N/A,1.4128,N/A,0.72236248,N/A,30.05322034,N/A,0.055588842,N/A,FALSE,N/A,TRUE,314.0116246,314.0116246,10.61710535,12.0050157,1.387910359,10.63197666,11.96651029,1.334533637,183.3238958,2.440399342,3.952070889,N/A,N/A,37,21
10,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetA_0_1.wiff (sample 1),NADmetA_0_1,,,Standard,11/01/2020 22:33,1,1,5,1,5,6500PLUS\User,NADmetabolites_updatedRT.dam,FALSE,NAM_0_0,10,,N/A,122.8 / 79.8,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,100,N/A,N/A,1.66,N/A,Baseline,N/A,1607142.777,N/A,1607142.777,N/A,N/A,59811.37486,N/A,59811.37486,N/A,N/A,26.87018615,N/A,26.87018615,N/A,62188,N/A,0,N/A,1.669463875,N/A,1.46015,N/A,2.653766667,N/A,1.193616667,N/A,0.375850016,N/A,185.8050652,N/A,0.205579625,N/A,FALSE,N/A,TRUE,< 0,N/A,1.482929833,2.653766667,1.170836834,1.489257387,2.653766667,1.164509279,10301.46474,2.873169865,4.898461189,N/A,N/A,37,14
