Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height
3,1,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\nh4oAc blank4.wiff (sample 1),nh4oAc blank4,,,Unknown,11/26/2020 00:43:53,1,1,2,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,7.84,N/A,Baseline,N/A,2138.71,N/A,2138.71,N/A,N/A,145.4544914,N/A,145.4544914,N/A,N/A,14.70363672,N/A,14.70363672,N/A,180,N/A,0.404624201,N/A,7.560683224,N/A,7.129183333,N/A,7.689333333,N/A,0.56015,N/A,0.242263843,N/A,7.172101399,N/A,0.137500051,N/A,FALSE,N/A,TRUE,<1 points,N/A,7.147704589,7.688561594,0.540857005,7.153878324,7.685474727,0.531596403,35.70472195,0.695435524,0.389110521,N/A,N/A,12,7
38,1,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\nh4oAc blank4.wiff (sample 1),nh4oAc blank4,,,Unknown,11/26/2020 00:43:53,1,1,2,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NR1,38,,N/A,255.0 / 122.9,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,12.02,N/A,Baseline,N/A,27375.47,N/A,27375.47,N/A,N/A,645.7142189,N/A,645.7142189,N/A,N/A,42.39564377,N/A,42.39564377,N/A,640,N/A,0.983537924,N/A,12.16621589,N/A,11.45753333,N/A,12.88333333,N/A,1.4258,N/A,1.13751909,N/A,10.35913992,N/A,0.061946909,N/A,FALSE,N/A,TRUE,<1 points,N/A,11.45857895,12.87486453,1.416285576,11.46371608,12.86899353,1.405277445,-28.05442559,0.773472002,0.543581438,N/A,N/A,29,25
67,2,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_C1.wiff (sample 1),NM-08_C1,,,Unknown,11/25/2020 23:52:34,1,1,16,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,7.84,N/A,Baseline,N/A,8554.6,N/A,8554.6,N/A,N/A,560,N/A,560,N/A,N/A,15.27607143,N/A,15.27607143,N/A,560,N/A,0.626386645,N/A,7.656367647,N/A,7.1801,N/A,8.045766667,N/A,0.865666667,N/A,0.294203704,N/A,16.31925448,N/A,0,N/A,FALSE,N/A,TRUE,<1 points,N/A,7.215753333,8.039826389,0.824073056,7.241216667,8.033886111,0.792669444,0,0.870076923,0.768956582,N/A,N/A,18,8
102,2,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_C1.wiff (sample 1),NM-08_C1,,,Unknown,11/25/2020 23:52:34,1,1,16,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NR1,38,,N/A,255.0 / 122.9,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,12.02,N/A,Valley,N/A,340200.1811,N/A,340200.1811,N/A,N/A,26977.44401,N/A,26977.44401,N/A,N/A,12.61054164,N/A,12.61054164,N/A,26913,N/A,0.965364786,N/A,11.93278117,N/A,11.71211667,N/A,12.67963333,N/A,0.967516667,N/A,0.122007775,N/A,229.6031607,N/A,0.002086805,N/A,FALSE,N/A,TRUE,<1 points,N/A,11.72515393,12.44967782,0.724523895,11.77355462,12.35474718,0.581192566,58.18675524,1.90001441,3.085366172,N/A,N/A,20,4
131,3,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_C3.wiff (sample 1),NM-08_C3,,,Unknown,11/26/2020 00:18:11,1,1,18,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,7.84,N/A,Baseline,N/A,3669796.809,N/A,3669796.809,N/A,N/A,176151.7424,N/A,176151.7424,N/A,N/A,20.83315645,N/A,20.83315645,N/A,176164,N/A,0.99916814,N/A,7.666883383,N/A,7.027333333,N/A,8.605916667,N/A,1.578583333,N/A,0.312232058,N/A,2074.552618,N/A,0.001248923,N/A,FALSE,N/A,TRUE,<1 points,N/A,7.331788037,8.225020524,0.893232488,7.358866558,7.998344272,0.639477713,139.3654648,1.249176168,0.935171746,N/A,N/A,32,8
166,3,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_C3.wiff (sample 1),NM-08_C3,,,Unknown,11/26/2020 00:18:11,1,1,18,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NR1,38,,N/A,255.0 / 122.9,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,12.02,N/A,Manual,N/A,865644.8133,N/A,865644.8133,N/A,N/A,65697.8047,N/A,65697.8047,N/A,N/A,13.17616041,N/A,13.17616041,N/A,65776,N/A,0.983674072,N/A,11.92060666,N/A,11.58852328,N/A,12.62543946,N/A,1.036916174,N/A,0.097729786,N/A,291.0217119,N/A,0.003912772,N/A,TRUE,N/A,TRUE,<1 points,N/A,11.68679377,12.40177071,0.714976942,11.77253658,12.35702474,0.584488154,247.9087124,1.56104255,3.079814433,N/A,N/A,22,4
195,4,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_std_high_1.wiff (sample 1),NM-08_std_high_1,,,Unknown,11/25/2020 22:35:29,1,1,15,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,7.84,N/A,Baseline,N/A,4808085.151,N/A,4808085.151,N/A,N/A,141847.4238,N/A,141847.4238,N/A,N/A,33.89617537,N/A,33.89617537,N/A,142416,N/A,1,N/A,7.767724051,N/A,7.078266667,N/A,9.573416667,N/A,2.49515,N/A,0.497340015,N/A,1823.45372,N/A,0.017765568,N/A,FALSE,N/A,TRUE,<1 points,N/A,7.344648284,8.822731738,1.478083455,7.388128903,8.53978271,1.151653807,1009.959321,1.868145907,2.270618594,N/A,N/A,50,12
230,4,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NM-08_std_high_1.wiff (sample 1),NM-08_std_high_1,,,Unknown,11/25/2020 22:35:29,1,1,15,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NR1,38,,N/A,255.0 / 122.9,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,12.02,N/A,Baseline,N/A,3833494.798,N/A,3833494.798,N/A,N/A,95702.22937,N/A,95702.22937,N/A,N/A,40.05648377,N/A,40.05648377,N/A,96644,N/A,1,N/A,12.0629719,N/A,11.61028333,N/A,13.90175,N/A,2.291466667,N/A,0.569919362,N/A,812.1428596,N/A,0.033019085,N/A,FALSE,N/A,TRUE,<1 points,N/A,11.71884158,13.82016472,2.101323136,11.74204433,13.33569243,1.593648094,1379.029443,3.516171268,4.782348784,N/A,N/A,46,13
259,5,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NR_NAR_5.wiff (sample 1),NR_NAR_5,,,Unknown,11/25/2020 21:18:24,1,1,11,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,7.84,N/A,Valley,N/A,18048716.13,N/A,18048716.13,N/A,N/A,507693.948,N/A,507693.948,N/A,N/A,35.55038661,N/A,35.55038661,N/A,510786,N/A,1,N/A,7.761733871,N/A,7.1801,N/A,9.318816667,N/A,2.138716667,N/A,0.512250743,N/A,2488.987406,N/A,0.018912532,N/A,FALSE,N/A,TRUE,<1 points,N/A,7.344784516,8.860726758,1.515942242,7.384093924,8.57397865,1.189884726,4489.504496,1.524125319,1.59796712,N/A,N/A,43,12
294,5,D:\User Data\Linda\LINDA_BenNRAex_011120\NR_NAR\NR_NAR_5.wiff (sample 1),NR_NAR_5,,,Unknown,11/25/2020 21:18:24,1,1,11,1,5,6500PLUS\User,NADmetabolites_6500_NORT.dam,FALSE,NR1,38,,N/A,255.0 / 122.9,N/A,(No IS),,,FALSE,FALSE,,,N/A,N/A,N/A,N/A,12.02,N/A,Baseline,N/A,10596220.19,N/A,10596220.19,N/A,N/A,233120.1583,N/A,233120.1583,N/A,N/A,45.45389926,N/A,45.45389926,N/A,234969,N/A,1,N/A,12.12919907,N/A,11.50843333,N/A,14.15636667,N/A,2.647933333,N/A,0.568605585,N/A,1148.946685,N/A,0.039902169,N/A,FALSE,N/A,TRUE,<1 points,N/A,11.73209451,13.97415176,2.24205725,11.76494209,13.52306196,1.758119865,3512.928321,3.925782078,5.957122542,N/A,N/A,53,13
