Sample Name,SampleName2,Category,IDNumber
NADmetA_0_025,0_025,Standard,1
NADmetA_0_025a,0_025,Standard,2
NADmetA_0_05,0_05,Standard,1
NADmetA_0_05a,0_05,Standard,2
NADmetA_0_1,0_1,Standard,1
NADmetA_0_1a,0_1,Standard,2
NADmetA_0_5,0_5,Standard,1
NADmetA_0_5a,0_5,Standard,2
NADmetA_1,1,Standard,1
NADmetA_10,10,Standard,1
NADmetA_10a,10,Standard,2
NADmetA_1a,1,Standard,2
NADmetA_2_5,2_5,Standard,1
NADmetA_2_5a,2_5,Standard,2
NADmetA_20,20,Standard,1
NADmetA_20a,20,Standard,2
NADmetA_5,5,Standard,1
NADmetA_5a,5,Standard,2
NADmetB_0_025,0_025,Standard,1
NADmetB_0_025a,0_025,Standard,2
NADmetB_0_05,0_05,Standard,1
NADmetB_0_05a,0_05,Standard,2
NADmetB_0_1,0_1,Standard,1
NADmetB_0_1a,0_1,Standard,2
NADmetB_0_5,0_5,Standard,1
NADmetB_0_5a,0_5,Standard,2
NADmetB_1,1,Standard,1
NADmetB_10,10,Standard,1
NADmetB_10a,10,Standard,2
NADmetB_1a,1,Standard,2
NADmetB_2_5,2_5,Standard,1
NADmetB_2_5a,2_5,Standard,2
NADmetB_20,20,Standard,1
NADmetB_20a,20,Standard,2
NADmetB_5,5,Standard,1
NADmetB_5a,5,Standard,2
NADmetC_0_025,0_025,Standard,1
NADmetC_0_025a,0_025,Standard,2
NADmetC_0_05,0_05,Standard,1
NADmetC_0_05a,0_05,Standard,2
NADmetC_0_1,0_1,Standard,1
NADmetC_0_1a,0_1,Standard,2
NADmetC_0_5,0_5,Standard,1
NADmetC_0_5a,0_5,Standard,2
NADmetC_1,1,Standard,1
NADmetC_10,10,Standard,1
NADmetC_10a,10,Standard,2
NADmetC_1a,1,Standard,2
NADmetC_2_5,2_5,Standard,1
NADmetC_2_5a,2_5,Standard,2
NADmetC_20,20,Standard,1
NADmetC_20a,20,Standard,2
NADmetC_5,5,Standard,1
NADmetC_5a,5,Standard,2
NH4OAc_blank,nh4oac blank,Blank,blank
