metabolite,component_name,Linda_NADmetA_10.mzML,Linda_NAD_new-NAD_new (2).mzML,Linda_NaAD-NaAD (2).mzML,NH4OAc_blank.mzML,NH4OAc_blank (2).mzML,NM-08_C4.mzML,NM-08_C6.mzML,NH4OAc_blank (10).mzML,NH4OAc_blank (11).mzML,NM-08_human_pool_1.mzML,NH4OAc_blank_2.mzML,NM-08_human_pool_2.mzML,NH4OAc_blank_2a.mzML,NM-08_extract_blank.mzML,NM-08_NR_Aex_1.mzML,NADmetA_10_new.mzML,NADmetB_10_new.mzML,NH4OAc_blank (3).mzML,NH4OAc_blank (4).mzML,NH4OAc_blank (5).mzML,NM-08_cont_pool_1.mzML,NM-08_cont_pool_2.mzML,NM-08_std_low_1.mzML,NM-08_std_high_1.mzML,NM-08_C1.mzML,NM-08_C2.mzML,NM-08_C3.mzML,NH4OAc_blank_1.mzML,NH4OAc_blank (8).mzML,NM-08_NR_Aex_2.mzML,NM-08_NR_Aex_3.mzML,NM-08_NR_Aex_4.mzML,NM-08_NR_Aex_5.mzML,NM-08_NR_Aex_6.mzML,NM-08_NR_Aex_7.mzML,NM-08_NR_Aex_8.mzML,NM-08_NR_Aex_9.mzML,NM-08_NR_Aex_10.mzML,NM-08_NR_Aex_11.mzML,NM-08_NR_Aex_12.mzML,NM-08_NR_Aex_13.mzML,NM-08_NR_Aex_14.mzML,NM-08_NR_Aex_15.mzML,NM-08_NR_Aex_16.mzML,NM-08_NR_Aex_17.mzML,NM-08_NR_Aex_18.mzML,NM-08_NR_Aex_19.mzML,NM-08_NR_Aex_20.mzML,NM-08_NR_Aex_21.mzML,NM-08_NR_Aex_22.mzML,NM-08_NR_Aex_23.mzML,NM-08_NR_Aex_24.mzML,NM-08_NR_Aex_25.mzML,NM-08_NR_Aex_26.mzML,NM-08_NR_Aex_27.mzML,NM-08_NR_Aex_28.mzML,NM-08_NR_Aex_29.mzML,NM-08_NR_Aex_30.mzML,NM-08_NR_Aex_31.mzML,NM-08_NR_Aex_32.mzML,NM-08_human_pool_4.mzML,NM-08_human_pool_5.mzML,NM-08_std_low_2.mzML,NM-08_std_high_2.mzML,NH4OAc_blank_3.mzML,NM-08_NR_Aex_33.mzML,NM-08_NR_Aex_34.mzML,NM-08_NR_Aex_35.mzML,NM-08_NR_Aex_36.mzML,NM-08_NR_Aex_37.mzML,NM-08_NR_Aex_38.mzML,NM-08_NR_Aex_39.mzML,NM-08_NR_Aex_40.mzML,NM-08_NR_Aex_41.mzML,NM-08_NR_Aex_42.mzML,NM-08_NR_Aex_43.mzML,NM-08_NR_Aex_44.mzML,NM-08_NR_Aex_45.mzML,NM-08_NR_Aex_46.mzML,NM-08_NR_Aex_47.mzML,NM-08_NR_Aex_48.mzML,NM-08_NR_Aex_49.mzML,NM-08_NR_Aex_50.mzML,NM-08_NR_Aex_51.mzML,NM-08_NR_Aex_52.mzML,NM-08_NR_Aex_53.mzML,NM-08_NR_Aex_54.mzML,NM-08_NR_Aex_55.mzML,NM-08_NR_Aex_56.mzML,NM-08_NR_Aex_57.mzML,NM-08_NR_Aex_58.mzML,NM-08_NR_Aex_59.mzML,NM-08_NR_Aex_60.mzML,NM-08_NR_Aex_61.mzML,NM-08_NR_Aex_62.mzML,NM-08_NR_Aex_63.mzML,NM-08_NR_Aex_64.mzML,NH4OAc_blank (9).mzML,NM-08_human_pool_6 (2).mzML,NM-08_human_pool_7 (2).mzML,NM-08_cont_pool_3.mzML,NM-08_cont_pool_4.mzML,NM-08_C5.mzML
NaAD,NADneg540,1887900,319160,2301900,92.26,141.76,12701,20300,2015.7,381.61,504760,894.46,5531.3,627.39,428.36,4618.1,378790,1875.8,495.16,207.13,98.71,453750,1041900,16998,132240,9806.1,12221,34896,3746.8,569.75,366070,6058,8484.3,160220,5760.3,3615.5,413390,7742.6,6565.3,7771.9,5117.4,406940,5453.5,4367.7,236600,5010.4,7086.8,587940,6121.5,5776.3,4318.5,2762.4,3676.9,4348.8,5161.3,6627.6,25388,6827.3,7843.5,2911.1,5653.6,4490,5587.6,25256,231300,1421.5,6441,209300,5722.1,5629.1,4152.1,6989.7,6144.5,6602.5,7371.3,51190,6821,381680,491810,237780,362500,5989.4,5347.5,5528.7,3779.2,5398.6,5223.9,495940,5698.7,3703,352930,185630,4730.5,457520,554430,4353.6,4124.7,4213.4,279.76,5850.2,5562.5,12960,9777.3,12308
NaAD,NADneg159,584180,98756,712270,28.55,43.86,3930,6281.3,623.71,118.08,156190,276.77,1711.5,194.13,132.55,1429,117210,580.43,153.22,64.09,30.54,140400,322400,5259.7,40920,3034.3,3781.5,10798,1159.4,176.3,113270,1874.5,2625.3,49578,1782.4,1118.7,127920,2395.8,2031.5,2404.8,1583.5,125920,1687.5,1351.5,73210,1550.4,2192.9,181930,1894.2,1787.3,1336.3,854.77,1137.7,1345.6,1597,2050.8,7855.7,2112.6,2427,900.79,1749.4,1389.3,1729,7814.9,71570,439.85,1993,64765,1770.6,1741.8,1284.8,2162.8,1901.3,2043,2280.9,15840,2110.6,118100,152180,73576,112170,1853.3,1654.7,1710.7,1169.4,1670.5,1616.4,153460,1763.3,1145.8,109210,57440,1463.8,141570,171560,1347.1,1276.3,1303.7,86.57,1810.2,1721.2,4010.1,3025.4,3808.6
NaAD,NaAD_B,50144000,8476900,61139000,2450.4,3765.1,337340,539170,53538,10136,13407000,23757,146910,16664,11377,122660,10061000,49823,13152,5501.5,2621.7,12052000,27674000,451480,3512400,260450,324590,926850,99517,15133,9722900,160900,225350,4255600,153000,96029,10980000,205650,174380,206420,135920,10808000,144850,116010,6284200,133080,188230,15616000,162590,153420,114700,73371,97659,115510,137090,176030,674310,181340,208330,77321,150160,119260,148410,670800,6143300,37755,171070,5559200,151980,149510,110280,185650,163200,175360,195780,1359600,181170,10138000,13063000,6315500,9628200,159080,142030,146840,100380,143390,138750,13172000,151360,98353,9374000,4930500,125640,12152000,14726000,115630,109560,111910,7430.5,155380,147740,344210,259690,326920
NaAD,NaAD_0_0,45448000,7683100,55414000,2220.9,3412.5,305750,488680,48524,9186.6,12151000,21532,133160,15103,10312,111170,9118700,45157,11920,4986.3,2376.2,10923000,25082000,409200,3183500,236060,294200,840050,90197,13716,8812400,145830,204240,3857100,138670,87036,9951600,186390,158050,187090,123190,9796300,131280,105140,5695600,120620,170600,14153000,147360,139050,103960,66499,88514,104690,124250,159550,611160,164350,188820,70080,136100,108090,134510,607980,5568000,34219,155050,5038600,137750,135510,99953,168260,147920,158940,177450,1232300,164200,9188300,11839000,5724100,8726500,144180,128730,133090,90978,129960,125750,11939000,137180,89142,8496100,4468800,113880,11014000,13347000,104800,99295,101430,6734.7,140830,133910,311980,235370,296300
NAD,NAD_0_0,60536000,89151000,116880,772.71,2502.7,103980000,102770000,3415400,907640,43462000,1314700,43627000,1232600,311870,24906000,19873000,19861000,248210,51785,95637,96817000,95399000,4201500,9377900,95761000,88117000,106830000,3062600,142540,38710000,32736000,32303000,30805000,51172000,34760000,63026000,65098000,49739000,65999000,36668000,32153000,49564000,38734000,35833000,33759000,72114000,42706000,53530000,68467000,40238000,19246000,21781000,34778000,42579000,76242000,20789000,41591000,25968000,26407000,57459000,39928000,39474000,2931000,11338000,376360,40686000,29423000,35460000,57275000,36956000,54656000,41192000,51231000,54929000,32378000,40627000,38668000,30529000,51929000,52906000,54288000,51972000,45190000,19551000,33562000,46533000,25006000,45095000,34410000,33759000,39285000,49347000,54090000,36909000,28969000,21773000,38862000,31281,46274000,44463000,95924000,89586000,99659000
NAD,NAD1,21260000,31310000,41048,271.38,878.94,36519000,36093000,1199500,318760,15264000,461730,15322000,432900,109530,8747100,6979400,6975100,87173,18187,33588,34002000,33504000,1475600,3293500,33631000,30947000,37518000,1075600,50060,13595000,11497000,11345000,10819000,17972000,12208000,22135000,22862000,17468000,23179000,12878000,11292000,17407000,13603000,12585000,11856000,25326000,14998000,18800000,24046000,14132000,6759300,7649600,12214000,14954000,26776000,7301000,14607000,9120000,9274100,20180000,14023000,13863000,1029400,3982000,132180,14289000,10333000,12453000,20115000,12979000,19195000,14467000,17992000,19291000,11371000,14268000,13580000,10722000,18237000,18581000,19066000,18252000,15871000,6866500,11787000,16342000,8782200,15837000,12085000,11856000,13797000,17331000,18996000,12962000,10174000,7646700,13648000,10986,16251000,15616000,33689000,31462000,35000000
NAD,NAD2,466130,686460,899.96,5.95,19.27,800680,791340,26299,6988.8,334660,10123,335930,9491.2,2401.4,191780,153020,152930,1911.2,398.74,736.4,745490,734570,32352,72210,737360,678500,822580,23582,1097.5,298070,252070,248740,237200,394020,267650,485300,501260,382990,508190,282340,247580,381640,298250,275910,259940,555270,328840,412180,527190,309840,148200,167720,267790,327860,587070,160070,320250,199950,203330,442430,307450,303950,22569,87304,2897.9,313280,226560,273040,441020,284560,420850,317180,394480,422960,249310,312830,297740,235080,399850,407380,418020,400180,347960,150550,258430,358300,192550,347230,264960,259940,302500,379970,416490,284200,223060,167650,299230,240.86,356310,342370,738620,689810,767370
NAD,NAD3,133180,196130,257.13,1.7,5.51,228770,226100,7513.9,1996.8,95617,2892.4,95979,2711.8,686.11,54794,43721,43694,546.07,113.93,210.4,213000,209880,9243.3,20631,210670,193860,235020,6737.7,313.59,85163,72019,71068,67771,112580,76473,138660,143220,109430,145200,80669,70736,109040,85214,78833,74269,158650,93954,117770,150630,88525,42342,47919,76513,93673,167730,45735,91501,57130,58095,126410,87842,86842,6448.3,24944,827.98,89509,64730,78011,126010,81303,120240,90623,112710,120840,71233,89379,85069,67165,114240,116390,119430,114340,99418,43013,73837,102370,55014,99210,75702,74269,86427,108560,119000,81199,63732,47901,85495,68.82,101800,97819,211030,197090,219250
NAD,NADneg540,127130,187220,245.44,1.62,5.26,218370,215820,7172.4,1906,91270,2760.9,91616,2588.5,654.92,52303,41733,41708,521.25,108.75,200.84,203310,200340,8823.2,19694,201100,185050,224340,6431.4,299.33,81292,68746,67837,64690,107460,72997,132360,136710,104450,138600,77002,67521,104080,81341,75249,70893,151440,89683,112410,143780,84501,40417,45741,73035,89415,160110,43656,87342,54533,55455,120660,83849,82895,6155.2,23810,790.35,85440,61788,74465,120280,77607,114780,86504,107590,115350,67995,85317,81202,64112,109050,111100,114000,109140,94899,41058,70481,97719,52513,94700,72261,70893,82499,103630,113590,77508,60835,45724,81609,65.69,97174,93373,201440,188130,209280
NAD,NADneg159,127130,187220,245.44,1.62,5.26,218370,215820,7172.4,1906,91270,2760.9,91616,2588.5,654.92,52303,41733,41708,521.25,108.75,200.84,203310,200340,8823.2,19694,201100,185050,224340,6431.4,299.33,81292,68746,67837,64690,107460,72997,132360,136710,104450,138600,77002,67521,104080,81341,75249,70893,151440,89683,112410,143780,84501,40417,45741,73035,89415,160110,43656,87342,54533,55455,120660,83849,82895,6155.2,23810,790.35,85440,61788,74465,120280,77607,114780,86504,107590,115350,67995,85317,81202,64112,109050,111100,114000,109140,94899,41058,70481,97719,52513,94700,72261,70893,82499,103630,113590,77508,60835,45724,81609,65.69,97174,93373,201440,188130,209280
