metabolite,component_name,NH4OAc_blank,NADmetA_0_025,NADmetA_0_025a,NADmetA_0_05,NADmetA_0_05a,NADmetA_0_1,NADmetA_0_1a,NADmetA_0_5,NADmetA_0_5a,NADmetA_1,NADmetA_1a,NADmetA_2_5,NADmetA_2_5a,NADmetA_5,NADmetA_5a,NADmetA_10,NADmetA_10a,NADmetA_20,NADmetA_20a,NH4OAc_blank (2),NADmetB_0_025,NADmetB_0_025a,NADmetB_0_05,NADmetB_0_05a,NADmetB_0_1,NADmetB_0_1a,NADmetB_0_5,NADmetB_0_5a,NADmetB_1,NADmetB_1a,NADmetB_2_5,NADmetB_2_5a,NADmetB_5,NADmetB_5a,NADmetB_10,NADmetB_10a,NADmetB_20,NADmetB_20a,NH4OAc_blank (3),NADmetC_0_025,NADmetC_0_025a,NADmetC_0_05,NADmetC_0_05a,NADmetC_0_1,NADmetC_0_1a,NADmetC_0_5,NADmetC_0_5a,NADmetC_1,NADmetC_1a,NADmetC_2_5,NADmetC_2_5a,NADmetC_5,NADmetC_5a,NADmetC_10,NADmetC_10a,NADmetC_20,NADmetC_20a,NH4OAc_blank (4)
NaAD,NADneg540,153.39,476.17,728.31,1184.3,1059.2,2119.6,1840.4,12006,10333,25432,27018,62677,61696,1.46E+05,1.32E+05,2.35E+05,3.12E+05,7.45E+05,5.81E+05,1627.8,845.93,887.97,316.93,553.06,517.26,138.89,2948.2,232.09,147.56,155.19,327.72,307.18,30825,28693,972.82,1018.6,2501.8,2757.5,466.74,246.92,362.33,366.03,555.61,108.53,183.82,205.13,4114,11864,192.68,19351,438.22,843.63,835.45,1.59E+05,1867,1.21E+05,2.04E+05,2166.6
NaAD,NADneg159,47.465,147.34,225.36,366.46,327.74,655.88,569.49,3714.9,3197.2,7869.3,8360.1,19394,19091,45086,40775,72852,96485,2.30E+05,1.80E+05,503.69,261.75,274.76,98.069,171.13,160.05,42.976,912.26,71.817,45.661,48.019,101.41,95.05,9538.1,8878.6,301.02,315.18,774.14,853.24,144.42,76.404,112.12,113.26,171.92,33.581,56.879,63.474,1273,3670.9,59.622,5987.8,135.6,261.04,258.51,49113,577.7,37423,63052,670.42
NaAD,NaAD_B,4074.2,12647,19344,31456,28132,56298,48883,3.19E+05,2.74E+05,6.75E+05,7.18E+05,1.66E+06,1.64E+06,3.87E+06,3.50E+06,6.25E+06,8.28E+06,1.98E+07,1.54E+07,43235,22468,23585,8417.9,14690,13739,3688.9,78306,6164.5,3919.4,4121.8,8704.5,8158.8,8.19E+05,7.62E+05,25839,27054,66450,73240,12397,6558.2,9623.7,9721.8,14757,2882.5,4882.3,5448.4,1.09E+05,3.15E+05,5117.8,5.14E+05,11639,22407,22190,4.22E+06,49588,3.21E+06,5.41E+06,57547
NaAD,NaAD_0_0,3692.7,11463,17533,28510,25497,51026,44305,2.89E+05,2.49E+05,6.12E+05,6.50E+05,1.51E+06,1.49E+06,3.51E+06,3.17E+06,5.67E+06,7.51E+06,1.79E+07,1.40E+07,39186,20364,21376,7629.6,13314,12452,3343.5,70972,5587.2,3552.3,3735.8,7889.3,7394.7,7.42E+05,6.91E+05,23419,24521,60227,66381,11236,5944.1,8722.5,8811.4,13375,2612.6,4425.1,4938.2,99036,2.86E+05,4638.5,4.66E+05,10549,20309,20112,3.82E+06,44944,2.91E+06,4.91E+06,52158
NAD,NAD_0_0,28466,57313,51747,96134,88247,1.70E+05,1.66E+05,8.19E+05,8.25E+05,1.74E+06,1.77E+06,4.16E+06,4.43E+06,8.16E+06,8.83E+06,2.08E+07,2.10E+07,3.83E+07,4.13E+07,4.19E+05,1.40E+05,87946,99846,93112,1.58E+05,1.51E+05,6.50E+05,6.82E+05,1.51E+06,1.53E+06,3.41E+06,3.42E+06,6.91E+06,7.03E+06,1.60E+07,1.60E+07,3.50E+07,3.81E+07,3.73E+05,86941,72104,1.34E+05,1.40E+05,2.22E+05,2.01E+05,1.01E+06,1.03E+06,2.08E+06,2.18E+06,5.16E+06,5.38E+06,1.10E+07,1.10E+07,2.27E+07,2.35E+07,4.98E+07,4.92E+07,5.11E+05
NAD,NAD1,9997.2,20128,18173,33762,30992,59734,58267,2.88E+05,2.90E+05,6.12E+05,6.22E+05,1.46E+06,1.56E+06,2.87E+06,3.10E+06,7.30E+06,7.39E+06,1.34E+07,1.45E+07,1.47E+05,49235,30887,35066,32701,55638,53049,2.28E+05,2.40E+05,5.32E+05,5.36E+05,1.20E+06,1.20E+06,2.43E+06,2.47E+06,5.61E+06,5.60E+06,1.23E+07,1.34E+07,1.31E+05,30534,25323,46957,49114,77830,70725,3.53E+05,3.62E+05,7.32E+05,7.66E+05,1.81E+06,1.89E+06,3.86E+06,3.86E+06,7.97E+06,8.26E+06,1.75E+07,1.73E+07,1.79E+05
NAD,NAD2,219.19,441.31,398.45,740.23,679.5,1309.7,1277.5,6304.6,6350.1,13413,13640,32046,34115,62862,68027,1.60E+05,1.62E+05,2.95E+05,3.18E+05,3227,1079.5,677.18,768.82,716.96,1219.9,1163.1,5006.5,5254.4,11662,11758,26237,26356,53212,54165,1.23E+05,1.23E+05,2.69E+05,2.93E+05,2871.7,669.45,555.2,1029.5,1076.8,1706.4,1550.6,7747.3,7941.5,16053,16791,39768,41459,84618,84588,1.75E+05,1.81E+05,3.83E+05,3.79E+05,3934.3
NAD,NAD3,62.625,126.09,113.84,211.49,194.14,374.19,365,1801.3,1814.3,3832.4,3897.1,9156.1,9747.3,17961,19436,45705,46269,84210,90860,922,308.42,193.48,219.66,204.85,348.53,332.31,1430.4,1501.3,3332.1,3359.4,7496.2,7530.2,15203,15476,35122,35101,76992,83820,820.49,191.27,158.63,294.15,307.66,487.55,443.04,2213.5,2269,4586.7,4797.4,11362,11845,24177,24168,49921,51734,1.10E+05,1.08E+05,1124.1
NAD,NADneg540,59.778,120.36,108.67,201.88,185.32,357.18,348.41,1719.4,1731.8,3658.2,3720,8739.9,9304.2,17144,18553,43627,44166,80382,86730,880.1,294.4,184.69,209.68,195.53,332.69,317.21,1365.4,1433,3180.6,3206.7,7155.5,7187.9,14512,14772,33526,33505,73493,80010,783.19,182.58,151.42,280.78,293.68,465.38,422.9,2112.9,2165.9,4378.2,4579.3,10846,11307,23078,23070,47652,49382,1.05E+05,1.03E+05,1073
NAD,NADneg159,59.778,120.36,108.67,201.88,185.32,357.18,348.41,1719.4,1731.8,3658.2,3720,8739.9,9304.2,17144,18553,43627,44166,80382,86730,880.1,294.4,184.69,209.68,195.53,332.69,317.21,1365.4,1433,3180.6,3206.7,7155.5,7187.9,14512,14772,33526,33505,73493,80010,783.19,182.58,151.42,280.78,293.68,465.38,422.9,2112.9,2165.9,4378.2,4579.3,10846,11307,23078,23070,47652,49382,1.05E+05,1.03E+05,1073
